calories,proteins,fat,carbohydrate,total_macros,kategori_nutrisi,label
89.0,1.1,0.1,21.0,22.2,Tidak Sehat,0
182.0,2.4,0.4,42.2,45.0,Tidak Sehat,0
45.0,1.4,0.2,10.3,11.9,Tidak Sehat,0
39.0,1.5,0.3,0.2,2.0,Tidak Sehat,0
95.0,4.5,0.2,23.1,27.8,Tidak Sehat,0
30.0,1.3,0.7,5.8,7.8,Tidak Sehat,0
51.0,4.6,0.5,10.0,15.1,Tidak Sehat,0
41.0,2.2,0.8,6.3,9.3,Tidak Sehat,0
23.0,1.2,0.6,3.7,5.5,Tidak Sehat,0
36.0,3.5,0.5,6.5,10.5,Tidak Sehat,0
102.0,3.7,6.7,6.9,17.3,Tidak Sehat,0
48.0,1.4,4.2,2.6,8.2,Tidak Sehat,0
326.0,16.0,28.6,0.0,44.6,Sehat,1
303.0,11.3,27.0,3.7,42.0,Sehat,1
300.0,24.0,20.7,4.5,49.2,Sehat,1
65.0,1.1,5.2,3.5,9.8,Tidak Sehat,0
258.0,10.6,9.5,32.5,52.6,Sehat,1
151.0,8.6,3.1,22.3,34.0,Tidak Sehat,0
132.0,9.8,1.1,20.7,31.6,Tidak Sehat,0
116.0,11.9,4.9,6.1,22.9,Sehat,1
78.0,11.4,2.0,3.6,17.0,Sehat,1
131.0,20.2,4.3,2.8,27.3,Sehat,1
36.0,0.4,0.4,8.8,9.600000000000001,Tidak Sehat,0
145.0,1.2,0.4,34.2,35.800000000000004,Tidak Sehat,0
417.0,25.9,19.4,32.0,77.3,Sehat,1
70.0,14.6,0.8,1.0,16.4,Sehat,1
93.0,12.8,1.5,6.1,20.4,Sehat,1
55.0,1.4,0.2,12.8,14.4,Tidak Sehat,0
98.0,1.6,0.7,20.9,23.2,Tidak Sehat,0
71.0,2.3,0.3,15.4,18.0,Tidak Sehat,0
350.0,2.7,1.1,82.3,86.1,Tidak Sehat,0
364.0,3.4,0.7,86.3,90.39999999999999,Tidak Sehat,0
360.0,6.8,0.7,78.9,86.4,Tidak Sehat,0
178.0,2.1,0.1,40.6,42.800000000000004,Tidak Sehat,0
357.0,8.4,1.7,77.1,87.19999999999999,Tidak Sehat,0
369.0,9.5,1.4,77.1,88.0,Tidak Sehat,0
357.0,8.4,1.7,77.1,87.19999999999999,Tidak Sehat,0
351.0,8.0,1.3,76.9,86.2,Tidak Sehat,0
358.0,5.5,0.1,82.7,88.3,Tidak Sehat,0
307.0,4.8,0.1,71.8,76.7,Tidak Sehat,0
356.0,7.0,0.7,78.0,85.7,Tidak Sehat,0
181.0,4.0,1.2,37.3,42.5,Tidak Sehat,0
166.0,3.8,1.0,34.4,39.199999999999996,Tidak Sehat,0
360.0,8.0,2.3,74.5,84.8,Tidak Sehat,0
360.0,8.0,2.3,74.5,84.8,Tidak Sehat,0
362.0,6.7,0.7,79.4,86.80000000000001,Tidak Sehat,0
163.0,3.0,0.4,35.7,39.1,Tidak Sehat,0
172.0,3.0,0.5,37.5,41.0,Tidak Sehat,0
361.0,7.4,0.8,78.4,86.60000000000001,Tidak Sehat,0
361.0,7.4,0.8,78.4,86.60000000000001,Tidak Sehat,0
376.0,7.5,3.8,78.0,89.3,Tidak Sehat,0
339.0,7.7,4.4,73.0,85.1,Tidak Sehat,0
362.0,7.7,4.4,73.0,85.1,Tidak Sehat,0
359.0,7.5,0.9,77.6,86.0,Tidak Sehat,0
364.0,6.8,0.6,80.1,87.5,Tidak Sehat,0
353.0,6.8,0.6,80.0,87.4,Tidak Sehat,0
335.0,7.4,1.9,76.2,85.5,Tidak Sehat,0
363.0,7.6,1.1,78.3,87.0,Tidak Sehat,0
344.0,1.1,0.2,28.3,29.6,Tidak Sehat,0
354.0,7.8,0.4,79.9,88.10000000000001,Tidak Sehat,0
352.0,7.3,0.9,76.2,84.4,Tidak Sehat,0
145.0,16.3,7.0,4.1,27.4,Sehat,1
360.0,4.7,0.1,82.1,86.89999999999999,Tidak Sehat,0
154.0,3.0,4.5,25.5,33.0,Tidak Sehat,0
381.0,6.1,3.9,80.3,90.3,Tidak Sehat,0
354.0,0.5,0.3,87.4,88.2,Tidak Sehat,0
348.0,4.7,0.1,82.1,86.89999999999999,Tidak Sehat,0
562.0,21.2,49.6,23.6,94.4,Tidak Sehat,0
629.0,21.5,56.6,19.8,97.89999999999999,Tidak Sehat,0
262.0,2.3,5.4,51.1,58.800000000000004,Tidak Sehat,0
199.0,2.1,1.5,44.4,48.0,Tidak Sehat,0
225.7,3.0,0.3,52.9,56.199999999999996,Tidak Sehat,0
48.0,0.6,0.0,4.4,5.0,Tidak Sehat,0
458.0,6.9,14.4,75.1,96.39999999999999,Tidak Sehat,0
42.0,1.6,0.1,9.6,11.3,Tidak Sehat,0
51.0,0.3,0.1,12.1,12.5,Tidak Sehat,0
43.0,2.6,0.0,11.6,14.2,Tidak Sehat,0
245.0,3.4,0.0,66.2,69.60000000000001,Tidak Sehat,0
119.0,4.4,3.5,18.3,26.200000000000003,Tidak Sehat,0
23.0,1.0,0.8,7.2,9.0,Tidak Sehat,0
22.0,1.0,0.3,4.7,6.0,Tidak Sehat,0
186.0,11.7,9.7,13.0,34.4,Sehat,1
249.0,3.4,0.4,58.0,61.8,Tidak Sehat,0
400.0,4.0,0.7,95.3,100.0,Tidak Sehat,0
141.0,15.3,3.3,12.6,31.200000000000003,Sehat,1
23.0,0.8,0.2,5.2,6.2,Tidak Sehat,0
110.0,1.4,2.1,21.4,24.9,Tidak Sehat,0
38.0,1.5,0.2,7.5,9.2,Tidak Sehat,0
264.0,4.0,1.1,59.6,64.7,Tidak Sehat,0
39.0,0.7,0.2,9.7,10.6,Tidak Sehat,0
87.0,2.6,2.7,13.1,18.4,Tidak Sehat,0
71.0,1.7,3.1,9.1,13.899999999999999,Tidak Sehat,0
56.0,0.8,1.0,10.9,12.700000000000001,Tidak Sehat,0
55.0,1.2,0.1,12.2,13.5,Tidak Sehat,0
101.0,1.7,0.6,25.2,27.5,Tidak Sehat,0
78.0,0.6,0.3,18.2,19.099999999999998,Tidak Sehat,0
113.0,0.8,0.3,26.8,27.900000000000002,Tidak Sehat,0
29.0,2.1,0.7,3.6,6.4,Tidak Sehat,0
67.0,0.4,0.2,15.9,16.5,Tidak Sehat,0
365.0,49.6,4.8,30.8,85.2,Sehat,1
60.0,1.0,60.0,13.0,74.0,Tidak Sehat,0
167.0,0.2,4.0,33.0,37.2,Tidak Sehat,0
156.0,2.3,0.2,15.6,18.1,Tidak Sehat,0
72.0,11.4,4.9,1.4,17.7,Sehat,1
212.0,16.9,0.2,47.6,64.7,Sehat,1
237.0,14.7,0.2,56.0,70.9,Sehat,1
35.0,2.4,0.2,7.7,10.3,Tidak Sehat,0
60.0,5.1,0.5,8.5,14.1,Tidak Sehat,0
30.0,2.2,0.2,6.4,8.8,Tidak Sehat,0
45.0,2.6,0.3,8.1,11.0,Tidak Sehat,0
42.0,2.0,1.1,6.1,9.2,Tidak Sehat,0
333.0,29.3,3.3,50.0,82.6,Sehat,1
336.0,37.4,13.0,30.5,80.9,Sehat,1
368.0,23.0,15.0,40.0,78.0,Sehat,1
106.0,4.4,6.3,7.9,18.6,Tidak Sehat,0
141.0,4.4,10.2,8.0,22.6,Tidak Sehat,0
125.7,3.3,1.9,23.9,29.099999999999998,Tidak Sehat,0
281.0,37.5,0.3,32.1,69.9,Sehat,1
38.0,1.6,0.8,6.3,8.7,Tidak Sehat,0
26.0,0.7,0.3,5.2,6.2,Tidak Sehat,0
367.0,15.9,6.2,61.8,83.9,Sehat,1
36.0,1.0,0.3,7.3,8.6,Tidak Sehat,0
120.0,4.7,2.4,19.9,27.0,Tidak Sehat,0
20.0,1.7,0.4,3.4,5.5,Tidak Sehat,0
155.0,20.1,3.8,10.2,34.1,Sehat,1
323.0,4.9,11.5,50.1,66.5,Tidak Sehat,0
102.0,3.2,6.0,8.7,17.9,Tidak Sehat,0
366.0,11.0,3.3,73.0,87.3,Sehat,1
97.0,5.8,6.3,4.2,16.3,Tidak Sehat,0
24.0,1.9,0.2,3.7,5.800000000000001,Tidak Sehat,0
460.0,0.8,18.7,17.2,36.7,Tidak Sehat,0
116.0,3.0,0.4,28.6,32.0,Tidak Sehat,0
330.0,5.2,8.9,57.4,71.5,Tidak Sehat,0
332.0,11.0,3.3,73.0,87.3,Sehat,1
462.0,1.2,20.7,67.7,89.6,Tidak Sehat,0
168.0,13.0,9.6,7.5,30.1,Sehat,1
143.0,9.8,1.4,22.8,34.0,Tidak Sehat,0
311.0,8.0,4.0,48.9,60.9,Tidak Sehat,0
472.0,2.0,29.8,62.7,94.5,Tidak Sehat,0
504.0,5.5,52.9,29.2,87.6,Tidak Sehat,0
381.0,9.0,35.0,53.6,97.6,Tidak Sehat,0
210.0,1.6,6.6,35.8,44.0,Tidak Sehat,0
241.0,16.0,25.0,0.0,41.0,Sehat,1
96.0,6.8,5.9,3.8,16.5,Tidak Sehat,0
84.0,6.0,6.0,1.4,13.4,Tidak Sehat,0
145.0,27.0,2.3,0.0,29.3,Sehat,1
12.0,0.1,0.1,5.0,5.2,Tidak Sehat,0
265.0,40.6,10.1,0.0,50.7,Sehat,1
75.0,16.1,0.7,0.1,16.900000000000002,Sehat,1
190.0,19.1,12.0,0.0,31.1,Sehat,1
191.0,32.0,6.0,0.0,38.0,Sehat,1
457.0,11.6,45.0,0.0,56.6,Sehat,1
376.0,14.1,35.0,0.0,49.1,Sehat,1
206.0,17.1,14.8,0.0,31.900000000000002,Sehat,1
154.0,16.6,9.2,0.0,25.8,Sehat,1
84.0,18.7,0.5,0.0,19.2,Sehat,1
118.0,18.1,4.1,0.9,23.1,Sehat,1
207.0,18.8,14.0,0.0,32.8,Sehat,1
27.0,1.3,0.6,4.0,5.9,Tidak Sehat,0
29.0,1.8,0.7,5.2,7.7,Tidak Sehat,0
41.0,2.0,0.3,7.8,10.1,Tidak Sehat,0
41.0,2.7,1.0,7.3,11.0,Tidak Sehat,0
50.0,4.4,1.4,7.8,13.600000000000001,Tidak Sehat,0
42.0,1.8,0.5,9.4,11.7,Tidak Sehat,0
122.0,6.0,1.0,26.0,33.0,Tidak Sehat,0
60.0,3.1,0.3,14.0,17.4,Tidak Sehat,0
58.0,2.9,0.7,10.0,13.6,Tidak Sehat,0
30.0,1.3,0.7,5.8,7.8,Tidak Sehat,0
50.0,4.6,0.9,7.0,12.5,Tidak Sehat,0
62.0,4.2,0.9,9.2,14.3,Tidak Sehat,0
73.0,4.6,0.5,16.2,21.299999999999997,Tidak Sehat,0
34.0,3.8,0.5,5.3,9.6,Tidak Sehat,0
93.0,5.0,1.3,15.3,21.6,Tidak Sehat,0
27.0,2.1,0.7,4.4,7.2,Tidak Sehat,0
36.0,2.9,0.6,6.8,10.3,Tidak Sehat,0
34.0,4.1,0.4,5.8,10.3,Tidak Sehat,0
40.0,3.7,0.3,8.0,12.0,Tidak Sehat,0
30.0,3.1,0.3,5.8,9.2,Tidak Sehat,0
92.0,4.0,3.6,10.9,18.5,Tidak Sehat,0
59.0,4.8,1.0,11.0,16.8,Tidak Sehat,0
53.0,5.3,0.9,9.1,15.3,Tidak Sehat,0
59.0,6.4,1.0,9.9,17.3,Tidak Sehat,0
47.0,5.0,0.5,8.5,14.0,Tidak Sehat,0
59.0,2.8,0.3,13.4,16.5,Tidak Sehat,0
82.0,6.7,1.7,14.3,22.700000000000003,Tidak Sehat,0
61.0,6.1,0.9,10.0,17.0,Tidak Sehat,0
46.0,4.0,0.5,8.9,13.4,Tidak Sehat,0
45.0,3.7,0.5,6.6,10.8,Tidak Sehat,0
48.0,4.5,0.8,9.1,14.399999999999999,Tidak Sehat,0
22.0,2.1,0.5,3.6,6.2,Tidak Sehat,0
23.0,3.0,0.3,3.7,7.0,Tidak Sehat,0
51.0,2.5,1.1,8.0,11.6,Tidak Sehat,0
14.0,1.3,0.3,2.3,3.9,Tidak Sehat,0
60.0,4.0,0.4,4.7,9.100000000000001,Tidak Sehat,0
30.0,3.6,0.6,4.5,8.7,Tidak Sehat,0
87.0,8.3,1.8,14.4,24.5,Tidak Sehat,0
76.0,2.8,0.2,15.8,18.8,Tidak Sehat,0
45.0,4.7,0.5,8.1,13.3,Tidak Sehat,0
30.0,2.3,0.4,5.8,8.5,Tidak Sehat,0
40.0,3.0,0.8,7.4,11.2,Tidak Sehat,0
54.0,3.7,0.3,11.8,15.8,Tidak Sehat,0
71.0,6.8,1.6,11.5,19.9,Tidak Sehat,0
99.0,5.0,1.3,21.3,27.6,Tidak Sehat,0
63.0,3.8,1.5,11.5,16.8,Tidak Sehat,0
166.0,1.7,0.5,38.8,41.0,Tidak Sehat,0
22.0,1.0,0.1,5.3,6.4,Tidak Sehat,0
22.0,1.0,0.1,5.3,6.4,Tidak Sehat,0
35.0,4.0,0.3,6.4,10.7,Tidak Sehat,0
54.0,2.2,3.6,3.1,8.9,Tidak Sehat,0
39.0,4.5,0.4,6.9,11.8,Tidak Sehat,0
53.0,3.4,1.2,7.2,11.8,Tidak Sehat,0
29.0,3.4,0.1,6.5,10.0,Tidak Sehat,0
104.0,3.9,0.6,17.9,22.4,Tidak Sehat,0
49.0,2.7,1.0,8.4,12.100000000000001,Tidak Sehat,0
87.0,8.0,2.0,11.9,21.9,Tidak Sehat,0
128.0,12.0,6.5,12.4,30.9,Sehat,1
37.0,2.5,0.8,6.9,10.2,Tidak Sehat,0
301.0,14.2,10.9,49.0,74.1,Sehat,1
62.0,4.0,0.5,10.5,15.0,Tidak Sehat,0
45.0,4.4,8.0,0.5,12.9,Tidak Sehat,0
45.0,4.4,0.5,8.5,13.4,Tidak Sehat,0
53.0,3.2,2.5,7.6,13.3,Tidak Sehat,0
68.0,2.0,1.0,15.2,18.2,Tidak Sehat,0
73.0,6.8,1.2,13.0,21.0,Tidak Sehat,0
144.0,12.7,1.2,25.2,39.099999999999994,Sehat,1
50.0,6.2,1.1,7.1,14.4,Tidak Sehat,0
74.0,6.3,0.7,10.7,17.7,Tidak Sehat,0
55.0,4.0,0.5,8.5,13.0,Tidak Sehat,0
31.0,3.7,0.6,4.8,9.1,Tidak Sehat,0
50.0,6.2,1.1,7.1,14.4,Tidak Sehat,0
36.0,2.6,0.9,6.1,9.6,Tidak Sehat,0
27.0,1.3,0.2,5.9,7.4,Tidak Sehat,0
59.0,3.0,0.4,13.5,16.9,Tidak Sehat,0
71.0,4.1,2.1,12.3,18.5,Tidak Sehat,0
27.0,1.3,0.2,5.9,7.4,Tidak Sehat,0
70.0,2.9,0.3,13.9,17.1,Tidak Sehat,0
47.0,2.8,0.4,10.4,13.6,Tidak Sehat,0
56.0,3.1,0.3,13.0,16.4,Tidak Sehat,0
62.0,3.7,0.3,11.1,15.1,Tidak Sehat,0
56.0,3.1,0.3,13.0,16.4,Tidak Sehat,0
48.0,3.0,0.3,10.8,14.100000000000001,Tidak Sehat,0
46.0,2.8,0.2,8.2,11.2,Tidak Sehat,0
55.0,1.7,0.1,11.9,13.700000000000001,Tidak Sehat,0
260.0,2.0,15.0,53.0,70.0,Tidak Sehat,0
382.0,55.7,14.1,8.0,77.8,Sehat,1
433.0,55.0,9.0,0.0,64.0,Sehat,1
598.0,74.3,26.9,9.2,110.39999999999999,Tidak Sehat,0
77.0,13.8,1.9,0.7,16.400000000000002,Sehat,1
104.0,21.9,1.1,0.0,23.0,Sehat,1
248.0,10.0,2.3,40.9,53.2,Sehat,1
395.0,3.0,5.7,81.2,89.9,Tidak Sehat,0
298.0,3.7,2.1,65.9,71.7,Tidak Sehat,0
368.0,2.6,8.6,70.0,81.2,Tidak Sehat,0
348.0,0.4,3.8,76.1,80.3,Tidak Sehat,0
331.0,1.9,7.6,63.8,73.3,Tidak Sehat,0
373.0,4.3,16.5,51.9,72.7,Tidak Sehat,0
17.5,3.3,2.3,39.5,45.1,Tidak Sehat,0
317.0,15.7,27.7,0.0,43.4,Sehat,1
202.0,17.1,14.8,0.0,31.900000000000002,Sehat,1
100.0,16.6,3.3,1.0,20.900000000000002,Sehat,1
63.0,1.0,0.2,16.1,17.3,Tidak Sehat,0
134.0,2.5,3.0,28.0,33.5,Tidak Sehat,0
80.0,0.5,0.6,18.2,19.3,Tidak Sehat,0
18.0,1.0,0.2,3.8,5.0,Tidak Sehat,0
98.0,1.4,0.2,25.4,27.0,Tidak Sehat,0
248.0,36.2,6.9,10.1,53.2,Sehat,1
590.0,18.5,57.0,0.0,75.5,Tidak Sehat,0
345.0,12.0,1.5,71.5,85.0,Sehat,1
403.0,10.6,2.2,85.3,98.1,Sehat,1
355.0,17.8,4.6,60.7,83.1,Sehat,1
122.0,3.5,4.5,17.5,25.5,Tidak Sehat,0
538.0,13.6,30.3,52.6,96.5,Tidak Sehat,0
524.0,13.3,29.2,52.0,94.5,Tidak Sehat,0
565.0,18.2,38.4,36.8,93.39999999999999,Tidak Sehat,0
70.0,0.6,0.0,18.9,19.5,Tidak Sehat,0
210.0,4.0,12.5,20.6,37.1,Tidak Sehat,0
156.7,3.0,1.7,32.7,37.400000000000006,Tidak Sehat,0
152.0,0.0,0.0,37.6,37.6,Tidak Sehat,0
44.8,0.0,0.0,11.3,11.3,Tidak Sehat,0
270.0,12.3,15.9,19.3,47.5,Sehat,1
322.0,2.4,0.6,76.6,79.6,Tidak Sehat,0
137.0,6.1,3.2,21.0,30.3,Tidak Sehat,0
88.0,0.8,0.3,20.9,22.0,Tidak Sehat,0
101.0,2.1,0.2,23.2,25.5,Tidak Sehat,0
88.0,0.6,0.3,20.9,21.799999999999997,Tidak Sehat,0
100.0,0.9,0.3,23.5,24.7,Tidak Sehat,0
18.0,0.8,0.2,4.1,5.1,Tidak Sehat,0
13.0,0.3,0.6,1.6,2.5,Tidak Sehat,0
68.0,0.7,0.1,18.0,18.8,Tidak Sehat,0
100.0,0.8,0.2,23.8,24.8,Tidak Sehat,0
95.0,1.0,0.1,22.6,23.700000000000003,Tidak Sehat,0
100.0,0.8,0.2,23.8,24.8,Tidak Sehat,0
77.0,0.6,0.2,18.4,19.2,Tidak Sehat,0
338.0,1.5,0.7,81.3,83.5,Tidak Sehat,0
191.0,4.5,1.5,39.7,45.7,Tidak Sehat,0
347.0,1.3,0.7,83.8,85.8,Tidak Sehat,0
195.0,0.4,1.7,44.4,46.5,Tidak Sehat,0
389.0,0.0,0.0,91.0,91.0,Tidak Sehat,0
95.0,1.5,0.1,22.4,24.0,Tidak Sehat,0
131.0,1.1,0.2,31.3,32.6,Tidak Sehat,0
274.0,1.7,5.4,55.5,62.6,Tidak Sehat,0
407.0,6.4,28.2,32.0,66.6,Tidak Sehat,0
35.0,1.7,0.2,7.7,9.6,Tidak Sehat,0
350.0,1.4,14.4,53.6,69.4,Tidak Sehat,0
462.0,3.1,24.4,57.7,85.2,Tidak Sehat,0
75.0,8.2,2.0,6.0,16.2,Tidak Sehat,0
360.0,1.3,6.4,74.3,82.0,Tidak Sehat,0
171.4,4.0,4.0,32.0,40.0,Tidak Sehat,0
144.0,1.1,0.4,34.1,35.6,Tidak Sehat,0
204.0,0.5,1.4,47.4,49.3,Tidak Sehat,0
114.0,16.3,4.6,0.8,21.7,Sehat,1
105.0,16.6,3.3,1.0,20.900000000000002,Sehat,1
141.0,15.0,8.1,0.9,24.0,Sehat,1
53.0,1.6,1.6,8.8,12.0,Tidak Sehat,0
160.0,3.3,9.2,16.0,28.5,Tidak Sehat,0
368.0,0.0,0.0,95.0,95.0,Tidak Sehat,0
386.0,3.0,10.0,76.0,89.0,Tidak Sehat,0
356.0,0.4,0.5,90.6,91.5,Tidak Sehat,0
394.0,0.0,0.0,94.0,94.0,Tidak Sehat,0
52.0,10.0,0.5,1.8,12.3,Sehat,1
106.0,16.5,3.3,2.5,22.3,Sehat,1
148.0,10.0,9.8,5.0,24.8,Sehat,1
126.0,4.2,9.4,6.2,19.8,Tidak Sehat,0
110.0,5.9,8.2,3.2,17.3,Tidak Sehat,0
143.0,4.0,11.4,6.0,21.4,Tidak Sehat,0
176.0,7.3,14.9,3.2,25.4,Tidak Sehat,0
132.0,9.0,7.2,7.8,24.0,Tidak Sehat,0
192.0,12.7,10.1,12.7,35.5,Sehat,1
218.0,0.5,2.5,48.5,51.5,Tidak Sehat,0
389.0,16.9,35.0,0.3,52.199999999999996,Sehat,1
65.0,10.0,1.0,3.5,14.5,Sehat,1
134.0,19.7,4.8,1.7,26.2,Sehat,1
136.0,19.7,3.2,6.0,28.9,Sehat,1
390.0,14.2,7.4,68.2,89.80000000000001,Sehat,1
127.0,1.2,0.5,29.5,31.2,Tidak Sehat,0
146.0,17.7,5.9,5.6,29.200000000000003,Sehat,1
380.0,33.6,27.5,0.0,61.1,Sehat,1
456.0,46.5,24.4,0.0,70.9,Sehat,1
348.0,18.7,29.5,0.0,48.2,Sehat,1
193.0,42.0,1.5,0.0,43.5,Sehat,1
430.0,58.2,23.6,0.0,81.80000000000001,Sehat,1
652.0,40.4,54.3,0.0,94.69999999999999,Tidak Sehat,0
319.0,6.9,31.7,0.0,38.6,Tidak Sehat,0
430.0,33.4,32.4,0.0,65.8,Sehat,1
198.0,19.0,13.0,0.0,32.0,Sehat,1
107.0,16.5,3.9,1.5,21.9,Sehat,1
112.0,20.0,1.3,3.7,25.0,Sehat,1
129.0,20.0,4.8,0.0,24.8,Sehat,1
296.0,17.1,20.3,11.3,48.7,Sehat,1
111.0,19.4,0.9,4.8,25.099999999999998,Sehat,1
78.0,14.5,0.6,3.7,18.8,Sehat,1
144.0,17.8,5.8,5.2,28.8,Sehat,1
123.0,15.1,5.5,3.3,23.900000000000002,Sehat,1
96.0,19.0,1.7,0.0,20.7,Sehat,1
138.0,14.0,0.7,7.4,22.1,Sehat,1
128.0,18.0,3.0,7.2,28.2,Sehat,1
80.0,14.7,1.4,2.2,18.299999999999997,Sehat,1
417.0,25.9,19.4,32.0,77.3,Sehat,1
82.0,6.7,1.0,10.9,18.6,Tidak Sehat,0
66.0,14.0,0.0,0.0,14.0,Sehat,1
90.0,14.9,2.5,2.1,19.5,Sehat,1
88.0,14.2,0.7,6.2,21.099999999999998,Sehat,1
100.0,14.7,2.4,4.9,22.0,Sehat,1
134.0,25.5,1.3,5.0,31.8,Sehat,1
204.0,34.2,5.6,1.9,41.7,Sehat,1
198.0,36.5,2.2,5.5,44.2,Sehat,1
120.0,11.3,3.9,10.0,25.200000000000003,Sehat,1
116.0,11.2,1.2,10.2,22.599999999999998,Sehat,1
86.0,10.2,1.1,8.7,20.0,Sehat,1
107.0,19.6,0.7,5.5,25.8,Sehat,1
81.0,11.4,1.9,3.8,17.1,Sehat,1
101.0,11.5,4.1,4.6,20.2,Sehat,1
109.0,17.0,4.0,0.0,21.0,Sehat,1
261.0,38.1,2.3,21.9,62.3,Sehat,1
292.0,58.0,4.0,0.0,62.0,Sehat,1
74.0,25.2,1.7,0.0,26.9,Sehat,1
267.0,23.1,19.4,0.2,42.7,Sehat,1
101.0,10.3,3.7,6.7,20.7,Sehat,1
298.0,46.3,3.6,20.2,70.1,Sehat,1
57.0,10.7,0.3,2.2,13.2,Sehat,1
77.0,15.6,0.9,1.6,18.1,Sehat,1
92.0,20.0,0.7,0.0,20.7,Sehat,1
82.0,11.4,1.2,6.4,19.0,Sehat,1
